,addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,homepage,mapx,mapy,mlevel,modifiedtime,overview,sigungucode,title,zipcode,tel,telname
0,서울특별시 종로구 평창30길 28,(평창동),1,0,A02,A0206,A02060500,129854,14,20071106013314,http://tong.visitkorea.or.kr/cms/resource/19/1570619_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/19/1570619_image3_1.jpg,"가나아트센터<a href=""http://www.ganaart.com/"" title=""새창 : 가나아트센터 홈페이지로 이동"" target=""_blank"">http://www.ganaart.com/</a>",126.9751811398,37.6122099878,6.0,20180316165320,"1983년에 개관한 가나아트갤러리는 국내외 3백여 회의 기획전시 및 대규모 국제미술전 참가를 비롯한 미술문화의 발전과 미술 국제화를 위한 노력을 계속해오고 있다. 이러한 노력을 통해 가나아트갤러리는 미국 및 유럽 등 전 세계 미술 시장에서 세계 최고의 화랑들과 어깨를 나란히 견주어 당당히 인정받고 있다.<br /> 
지난 20여 년간 수 십 여 차례의 국제아트페어/FIAC 참가(1985), 가나판화공방 개소(1987), 도서출판 가나아트 출범(1988), 파리 가나-보브르/Gana-Beaubourg개관(1995), 가나미술연구소(1996), 아트샵 개관(1997),  파리 국제공동체/cite des arts 참여(1996), 도예공방/양평 개소(1997), 작가 작업장/안성 설치(1997),  가나아트센터 개관(1998), (주)서울경매 출범(1999),(주)가나아트닷컴 출범(1999), 인사아트센터 개관(2000), 가나아뜰리에 개관(2001), 가나아카데미/인사동 설립(2002), 에꼴 드 가나/평창동 개원(2002) 등을 실현함으로써 미술선진화를 선도하고 있다. <br />
가나아트갤러리의 전시는 개인초대전에서 작고거장의 유작전, 주제기획전 등 다양한 형식과 장르를 아우르며, 동서를 가로지르고 고금을 꿰뚫는 폭넓은 시야로 고미술과 현대미술 전시 등 통일성과 다양성을 구현해오고 있다. 한편, 가나아트갤러리는 전시기획 및 아카데미강좌 개설 등과 더불어 전시와 연계한 음악, 무용, 연극, 마임 등 타 장르와의 연계 프로젝트 추진을 통해 보다 다양해진 관람객의 문화향수욕구에 부응하고자 하였다.",23,가나아트센터,3004.0,,
1,서울특별시 종로구 인사동길 56,(관훈동),1,0,A02,A0206,A02060500,130402,14,20071106015541,http://tong.visitkorea.or.kr/cms/resource/19/1550819_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/19/1550819_image3_1.jpg,"가나아트스페이스 <a href=""http://gana.insaartcenter.com"" title=""새창 : 가나아트스페이스 홈페이지로 이동"" target=""_blank"">http://gana.insaartcenter.com</a>",126.98393695280001,37.5749922502,6.0,20181226095951,"인사동 거리 초입에 위치하여 편리하고, 상징적인 장소성을 지닌 가나아트스페이스는 신진과 중견, 개인과 단체,지역을 막론하고 역량있는 활력을 보이는 작가에게 개방하고자 한다. 무성의, 무성격한 대관 전시장을 탈피하여 개방적이고 유연한 과정을 거치되 공정한 기준으로 운영하는 가나아트스페이스는 전혀 새로운 대관전시 양식을 창출해 나갈 것이다.<br>",23,가나아트스페이스,3146.0,,
2,서울특별시 종로구 인사동10길 11,(관훈동),1,0,A02,A0206,A02060500,129898,14,20071106013446,http://tong.visitkorea.or.kr/cms/resource/14/1394214_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/14/1394214_image3_1.jpg,,126.98560348790001,37.5742756967,6.0,20181226130529,"가람화랑은 근대미술을 재조명하는 전시를 시작으로 개관하였다. 전문미술인이 경영하는 화랑으로서 형상미술을 위주로 하는 작가들을 중심으로  기획전과 초대전을 개최하고 있다. 근.현대미술의 수준높은 주요작품들이 전시, 판매되고  있으며, 특히 구상성 짙은 작품들을 용이하게 관람할 수 있다. 인사동이라는 대중과의 원활한 접촉이 이루어지는 지리적 조건을 갖추고 있어 초보 컬렉터들도 작품감상 및 작품 컬렉션에 관한 자문을 구할 수 있다. 대표작가로는 민정기, 한애규, 박고석, 김창세, 장영숙, 이철주, 송창, 이희중 등의 중견 작가들이 있다.<br /><br />일반 대중이 쉽게 미술과 문화에 접근하는 데에 심혈을 기울이고 있는 가람화랑은 직장인들과  중산층 컬렉터들이 가장 편하게 드나들 수 있는 평범함을 갖고 있다. 뿐만 아니라 대가들과 중진들의 작품을 접해 본 경험이 많이 있는 초보 컬렉터들의 길잡이로서도 더할  나위없다. 안창, 민정기, 이철주 등 3대작가의 작품이 전시되어 있으며, 또한 눈과 마음에 부담을 주지 않는 편한 작품들도 감상할 수 있다는 게 장점이다.<br>",23,가람화랑,3146.0,,
3,경기도 가평군 청평면 북한강로 1549,,31,0,A02,A0206,A02060500,130611,14,20050628000000,http://tong.visitkorea.or.kr/cms/resource/89/1358589_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/89/1358589_image3_1.jpg,,127.37940960389999,37.6604061569,6.0,20181224144915,"가일미술관은 1991년 처음 미술관을 구상하여 가평군  외서면 삼회리에 터를 정하고 첫 삽을 뜬 후, 설계부터 시공까지 총 10여 년의 세월에 거쳐 정성을 다해 지은  건축물이 2003년 봄에 완공되었고  드디어 그 해 5월 2일에 개관하였다.가일미술관은 한때 화가를 꿈꾸었던 한 건축가가 학창시절 함께 그림을 그렸던 친구의 그림 한 점에서 시작하여 20여년간 모아온 미술품을 혼자 관리하고 감상하기보다 더 많은 사람들과 공유하고자 하는 뜻에서 세운 미술관으로 연 10회 이상의 전시를 기획하고 있으며, 한국 현대 미술의 정체성을 확립하고 국내외 미술계와의 교류를 통해 미술 문화의 발전과 젊은 작가의 창작지원을 위한 열린 시각의 미술관이다. 미술관을 찾아오는 방문객의 하루하루가 '아름다운 날'이 되길 바란다는 뜻의 가일 미술관은 국내외의 예술작품 전시와 실내악, 재즈 등의 여러가지 공연이 열리는 아트홀, 그리고 맞춤형 콘서트로 대중이 직접 참여할 수 있는 야외 공연장 등 다양한 시설이 마련되어 있는 복합문화공간이다. <br>",1,가일미술관,12458.0,,
4,울산광역시 남구 대공원로 84,(옥동),7,0,A02,A0206,A02060700,130523,14,20041008000000,http://tong.visitkorea.or.kr/cms/resource/19/1899619_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/19/1899619_image3_1.jpg,"가족문화센터 <a href=""http://www.uimc.or.kr/institution/InstitutionHome/FamilycultureCenter/main/main.php"" target=""_blank"" title=""새창 : 가족문화센터 홈페이지로 이동"">http://www.uimc.or.kr/</a>",129.2905556337,35.5319960593,6.0,20181029160436,"가족문화센터는 울산광역시민의 생활문화 및 여가 선용공간이다. 가족문화센터는 시민의 잠재능력 개발에 필요한 각종 교육장소, 아동의 보육을 위한 보육공간을 제공하고 있다.  또한 예식장, 대연회장, 강의실, 체육관 등 다중이용시설 대관서비스를 하고 있으며 사이버도서관, 소연회장 등 시민 편의시설을 운영하고 있다.  가족 공동체 형성을 위한 프로그램 운영공간도 마련하고 있으며, 시민들이 각종 고충문제를 해결하도록 돕는 상담실을 운영하고 있다.<br>",2,가족문화센터,44660.0,,
5,대구광역시 달성군 가창면 가창로57길 46,,4,0,A02,A0206,A02060500,130338,14,20071106015304,http://tong.visitkorea.or.kr/cms/resource/89/1893689_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/89/1893689_image3_1.jpg,"가창창작스튜디오 <a href=""http://www.gcartstudio.or.kr"" target=""_blank"" title=""새창 : 가창창작스튜디오 홈페이지로 이동"">http://www.gcartstudio.or.kr</a>",128.6583163709,35.7377194385,6.0,20180315143127,"가창창작스튜디오는 유망한 신진 예술가들에게 안정적인 창작공간을 제공하여 창작활성화 및 예술교류 활동을 증진하고, 지역주민연계프로그램을 통한 지역문화예술 향유권 신장 및 커뮤니티 활성화를 추진하고 있다. 가창창작스튜디오는 지역 유일의 현대미술 창작공간으로 2007년부터 우록분교 폐교를 대부하여 현대미술분야 젊은 작가들의 창작공간으로의 역할을 하였다. <br>
[출처] 가창창작스튜디오",3,가창창작스튜디오&스페이스 가창,42940.0,,
6,인천광역시 연수구 청량로102번길 40-9,(옥련동),2,0,A02,A0206,A02060100,130105,14,20060724000000,http://tong.visitkorea.or.kr/cms/resource/75/1579175_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/75/1579175_image3_1.jpg,"가천박물관 <a href=""http://www.gcmuseum.org/"" target=""_blank"" title=""가천박물관 사이트로 이동"">http://www.gcmuseum.org</a>",126.6576044255,37.418224103,6.0,20180308164014,"가천박물관은 인천 문화에 보탬이 되고자 지난 1995년 10월 문을 열었다. 국내 사립박물관 가운데 77번째로 등록된 본 박물관은 인천유일의 국보로 고려시대 대표적인 불교문화재 가운데 하나로 불력(佛力)을 이용해 거란군의 침입을 물리치려했던 조상들의 정성이 가득 담긴 《초조본유가사지론 권 제53(국보 제276호)》을 비롯해 우리나라에 자생하는 약초를 집대성한 향약집성방의 기초가 되는 《향약제집성방  (보물 제1178호)》, 중국에서 전해오는 한의학서를 우리나라 실정에  맞게 편찬한 전문 의학서인 《태산요록(보물 제1179호)》등 귀중한 보물 13점을 소장하고 있다.<br> 
 이밖에도 의학 전문 박물관으로서 면모를 갖추기 위해 일반고서 5,200여 점과 의료·생활유물 1,000여 점, 근대정부기록외에  국내최다 소장 창간호 등 20,000여 점의  귀중한 자료를 소중하게 간직하고 있다.<br>",8,가천박물관,21942.0,032-833-4747,가천박물관
7,서울특별시 종로구 창경궁로 296-12,(혜화동),1,0,A02,A0206,A02060900,130233,14,20071106014803,http://tong.visitkorea.or.kr/cms/resource/38/1894738_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/38/1894738_image3_1.jpg,"성신교정도서관 <a href=""http://lib.catholic.ac.kr"" target=""_blank"" title=""새창 : 성신교정도서관 홈페이지로 이동"">http://lib.catholic.ac.kr</a>",127.0043347827,37.5859580079,6.0,20181106133432,"한국 교회를 이끌어 갈 성직자 양성과, 가톨릭 교육의 최고 기관으로서의 역할을 다하기 위해서 제반연구에 필요한 자료를 수집, 보존, 관리하여 교수와 학생들에게 연구 자료에 관한 정보를 제공하고 있다. 현재의 도서관 건물은 1995년에 준공된 건물로서 지하 1층, 지상 3층 연건평 800여 평의 현대식 건물이다.<br /> 
도서관 내에는 사서실, 전산실, 대출실, 참고열람실, 자유열람실, 정부간행물 및 대학논문실, 귀중 도서실, 일반 도서실, 시청각자료실, 연속간행물실, 학위논문실 등이 있으며, 현재의 장서 수는 157,000여 권으로 그 중 종교관계 도서가 약 50%를 차지하고 있다.<br>",23,가톨릭대학교 성신교정도서관,3083.0,,
8,경기도 가평군 가평읍 문화로 131,,31,0,A02,A0206,A02060600,130220,14,20060608000000,http://tong.visitkorea.or.kr/cms/resource/34/1589034_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/34/1589034_image3_1.jpg,"가평군시설관리공단 <a href=""http://www.gpfmc.or.kr"" target=""_blank"" title=""새창 : 가평군시설관리공단 홈페이지로 이동"">http://www.gpfmc.or.kr</a>",127.5085264086,37.824247813,6.0,20181029153913,가평문화예술회관은 가평군에 설치된 유일한 극장으로서 지역주민의 문화적 욕구를 충족시키려 노력하고있다. 대공연장과 다목적실 전시실 야외공연장등으로 구성되어있으며 대공연장은 641석 야외공연장은 동시에 200명을 수용할수있다.<br>* 개관일 : 1998년 6월 <br>,1,가평문화예술회관,12416.0,,
9,경기도 가평군 가평읍 문화로 131,,31,0,A02,A0206,A02060700,129877,14,20071106013359,http://tong.visitkorea.or.kr/cms/resource/64/1785864_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/64/1785864_image3_1.jpg,"가평문화원 <a href=""http://www.gpc.or.kr"" target=""_blank"" title=""새창 : 가평문화원 홈페이지로 이동"">http://www.gpc.or.kr</a>",127.5085264086,37.824247813,6.0,20180205174105,가평문화원은 문화원에서 실시하는 평생교육의 프로그램을 접목시켜 여가를 활용하여 잠재적 소질을 개발하고 풍요로운 취미생활을 통하여 일상생활에 활력소를 불어 넣어 질 높은 삶을 운영하는 계기를 마련하고자 한다. <br>,1,가평문화원,12416.0,,
