,addr1,addr2,areacode,cat1,cat2,cat3,contentid,contenttypeid,createdtime,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,firstimage,firstimage2
0,경상남도 창원시 마산합포구 해안대로 317,(신포동2가),36,B02,B0201,B02010100,2577328,32,20181212160630,128.5753271961,35.2009117167,6.0,20190118132451,18,16,055-248-2700,㈜엘시티관광호텔,51720,,
1,경상남도 통영시 욕지면 욕지일주로 896-71,,36,B02,B0201,B02011000,2579389,32,20181218094935,128.2302609679,34.6395822752,,20190118094944,11,17,010-8075-5005,㈜청보리,53100,,
2,서울특별시 강서구 곰달래로 247,,1,B02,B0201,B02010900,1747824,32,20121105144638,126.8605382972,37.5322339006,6.0,20191021165338,16408,4,02-2643-8800,㈜코스테이,07741,http://tong.visitkorea.or.kr/cms/resource/22/1744722_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/22/1744722_image3_1.jpg
3,전라북도 군산시 부곡4길 12-5,(나운동),37,B02,B0201,B02010900,2569811,32,20181126150300,126.6910625934,35.9622062385,,20190118112335,17,2,063-468-1322,샾 모텔,54141,,
4,충청남도 태안군 소원면 서해로 20-6,,34,B02,B0201,B02010900,1268116,32,20110502105930,126.1428016874,36.7840275359,6.0,20181206134533,19004,14,041-672-0980,샾모텔,32123,,
5,인천광역시 미추홀구 미추홀대로722번길 40,,2,B02,B0201,B02010900,1832039,32,20130730161506,126.6825676095,37.4616750515,6.0,20190312162443,4185,3,032-426-0333,샾호텔,22135,http://tong.visitkorea.or.kr/cms/resource/51/1832051_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/51/1832051_image2_1.JPG
6,경기도 양평군 서종면 풀무길 31,,31,B02,B0201,B02010700,983886,32,20100323145640,127.3943459429,37.6055350250,6.0,20190712135222,18563,19,031-773-2300,가가펜션,12501,http://tong.visitkorea.or.kr/cms/resource/85/1786785_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/85/1786785_image3_1.jpg
7,경상북도 안동시 풍천면 하회남촌길 69-5,,35,B02,B0201,B02011600,2465071,32,20161220100700,128.5178062368,36.5376120873,,20191127102952,6404,11,054-855-8552,가경재 [한국관광 품질인증/Korea Quality],36760,http://tong.visitkorea.or.kr/cms/resource/00/2626200_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/00/2626200_image3_1.jpg
8,경상남도 통영시 한산면 한산일주로 856,,36,B02,B0201,B02011000,2574970,32,20181207112646,128.5064669527,34.7671312725,,20191025161224,9,17,"055-641-8388, 010-2736-8524",가고파민박,53092,,
9,충청북도 단양군 가곡면 가대1길 55,,33,B02,B0201,B02010700,2571935,32,20181130132234,128.4094123770,37.0428882901,,20190902104524,0,2,010-3789-7322,가곡추억펜션(단양추억펜션),27021,http://tong.visitkorea.or.kr/cms/resource/11/2570911_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/11/2570911_image2_1.jpg
10,서울특별시 송파구 송파대로28길 5,(가락동),1,B02,B0201,B02010100,142785,32,20040426000000,127.1166298703,37.4966565128,6.0,20190527133757,34720,18,02-400-6641~3,가락관광호텔,05719,,
11,경상북도 안동시 풍천면 하회종가길 76-6,(풍천면),35,B02,B0201,B02011600,1865597,32,20131202091422,128.5163479914,36.5390674494,6.0,20190806173327,16601,11,054-853-4828,가람초연재[한국관광 품질인증/Korea Quality],36760,http://tong.visitkorea.or.kr/cms/resource/42/2579442_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/42/2579442_image3_1.jpg
12,서울특별시 강남구 압구정로18길 14-12,"(신사동,우찬아파트)702호",1,B02,B0201,B02011100,2608451,32,20190628152655,127.0238681004,37.5237378109,,20191112132724,0,1,010-3718-5743,가로수길 홈스테이,06029,,
13,서울특별시 강남구 강남대로162길 41-22,"(신사동,오로라빌)",1,B02,B0201,B02011100,2607436,32,20190620132319,127.0211100644,37.5220851756,,20191112130307,0,1,010-6862-2717,가로수스테이,06028,,
14,제주특별자치도 서귀포시 법환하로9번길 10,,39,B02,B0201,B02010700,1896032,32,20140218153733,126.5123328248,33.2366036985,6.0,20191217113657,6701,3,064-739-4499,가름게스트하우스,63573,,
15,강원도 인제군 인제읍 대목리길 137,,32,B02,B0201,B02010700,2571998,32,20181130155923,128.3383212190,38.0731317037,,20190902104618,0,10,010-8211-8877,가리벨리 관광펜션(가리벨리관광펜션휴양타운),24643,http://tong.visitkorea.or.kr/cms/resource/37/2571137_image2_1.jpeg,http://tong.visitkorea.or.kr/cms/resource/37/2571137_image2_1.jpeg
16,강원도 정선군 정선읍 청량길 32,,32,B02,B0201,B02010700,582215,32,20080702092139,128.5773415604,37.4240753633,6.0,20190221141925,28161,11,033-562-1665,가리왕산이야기 펜션,26119,http://tong.visitkorea.or.kr/cms/resource/09/582509_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/09/582509_image3_1.jpg
17,경기도 구리시 안골로 70,,31,B02,B0201,B02010900,1781984,32,20130117140401,127.1388777598,37.5972257905,6.0,20190201144825,17810,6,031-563-0444<br />031-563-9779,가바나모텔,11933,,
18,경기도 평택시 평택5로76번길 18-10,,31,B02,B0201,B02010100,143017,32,20030806000000,127.1128304397,36.9931397180,6.0,20181226162035,23562,28,031-658-7700,가보호텔,17885,http://tong.visitkorea.or.kr/cms/resource/83/1942883_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/83/1942883_image3_1.jpg
19,전라남도 목포시 북항로 139,(죽교동),38,B02,B0201,B02010900,2581438,32,20181221104130,126.3695978786,34.8015713685,,20190116094552,36,8,061-247-0078,가빈,58626,,
