,addr1,addr2,areacode,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,title,zipcode,tel
0,서울특별시 종로구 평창30길 28,(평창동),1,A02,A0206,A02060500,129854,14,20071106013314,http://tong.visitkorea.or.kr/cms/resource/19/1570619_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/19/1570619_image3_1.jpg,126.9751811398,37.6122099878,6,20180316165320,41050,23,가나아트센터,03004,
1,서울특별시 종로구 인사동길 56,(관훈동),1,A02,A0206,A02060500,130402,14,20071106015541,http://tong.visitkorea.or.kr/cms/resource/19/1550819_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/19/1550819_image3_1.jpg,126.9839369528,37.5749922502,6,20181226095951,21882,23,가나아트스페이스,03146,
2,서울특별시 종로구 인사동10길 11,(관훈동),1,A02,A0206,A02060500,129898,14,20071106013446,http://tong.visitkorea.or.kr/cms/resource/14/1394214_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/14/1394214_image3_1.jpg,126.9856034879,37.5742756967,6,20181226130529,18656,23,가람화랑,03146,
3,경기도 가평군 청평면 북한강로 1549,,31,A02,A0206,A02060500,130611,14,20050628000000,http://tong.visitkorea.or.kr/cms/resource/89/1358589_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/89/1358589_image3_1.jpg,127.3794096039,37.6604061569,6,20181224144915,28678,1,가일미술관,12458,
4,울산광역시 남구 대공원로 84,(옥동),7,A02,A0206,A02060700,130523,14,20041008000000,http://tong.visitkorea.or.kr/cms/resource/19/1899619_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/19/1899619_image3_1.jpg,129.2905556337,35.5319960593,6,20181029160436,34581,2,가족문화센터,44660,
5,대구광역시 달성군 가창면 가창로57길 46,,4,A02,A0206,A02060500,130338,14,20071106015304,http://tong.visitkorea.or.kr/cms/resource/89/1893689_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/89/1893689_image3_1.jpg,128.6583163709,35.7377194385,6,20180315143127,35369,3,가창창작스튜디오&스페이스 가창,42940,
6,인천광역시 연수구 청량로102번길 40-9,(옥련동),2,A02,A0206,A02060100,130105,14,20060724000000,http://tong.visitkorea.or.kr/cms/resource/75/1579175_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/75/1579175_image3_1.jpg,126.6576044255,37.4182241030,6,20180308164014,30246,8,가천박물관,21942,032-833-4747
7,서울특별시 종로구 창경궁로 296-12,(혜화동),1,A02,A0206,A02060900,130233,14,20071106014803,http://tong.visitkorea.or.kr/cms/resource/38/1894738_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/38/1894738_image3_1.jpg,127.0043347827,37.5859580079,6,20181106133432,19505,23,가톨릭대학교 성신교정도서관,03083,
8,경기도 가평군 가평읍 문화로 131,,31,A02,A0206,A02060600,130220,14,20060608000000,http://tong.visitkorea.or.kr/cms/resource/34/1589034_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/34/1589034_image3_1.jpg,127.5085264086,37.8242478130,6,20181029153913,18916,1,가평문화예술회관,12416,
9,경기도 가평군 가평읍 문화로 131,,31,A02,A0206,A02060700,129877,14,20071106013359,http://tong.visitkorea.or.kr/cms/resource/64/1785864_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/64/1785864_image3_1.jpg,127.5085264086,37.8242478130,6,20180205174105,16060,1,가평문화원,12416,
