,addr1,addr2,areacode,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode
0,세종특별자치시 도움1로 106,(종촌동),8,A05,A0502,A05020100,2516988,39,20171122093947,http://tong.visitkorea.or.kr/cms/resource/86/2516986_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/86/2516986_image2_1.jpg,127.2481205968,36.5028013017,6.0,20181211151405,2364,1,1833-8448,㈜반석개발 더파티세종점,30064
1,서울특별시 용산구 청파로 74,,1,A05,A0502,A05020300,2598695,39,20190423110214,http://tong.visitkorea.or.kr/cms/resource/19/2598719_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/19/2598719_image2_1.JPG,126.9575071394,37.5356935654,6.0,20190423134229,39,21,02-712-5005,㈜피에프비파트너스 마린칸토,04372
2,충청남도 부여군 부여읍 성왕로 286,,34,A05,A0502,A05020100,1797757,39,20130227105838,,,126.9189337881,36.2832456836,6.0,20191029175927,13013,6,041-835-5338,가경식당,33148
3,경상남도 통영시 한산면 한산일주로 856,,36,A05,A0502,A05020100,2572443,39,20181203145225,,,128.5064669527,34.7671312725,6.0,20190114155828,4,17,055-641-8388,가고파식당,53092
4,대전광역시 유성구 신성로84번길 49,,3,A05,A0502,A05020100,1928589,39,20140627112119,,,127.3512700000,36.3890161659,6.0,20190226110240,3816,4,042-862-9288,가나샤브샤브,34116
5,경기도 고양시 일산동구 애니골길 60-1,,31,A05,A0502,A05020100,795034,39,20090904131758,http://tong.visitkorea.or.kr/cms/resource/91/1785791_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/91/1785791_image3_1.jpg,126.7927405262,37.6727163488,6.0,20190814153847,19193,2,031-901-3292,가나안 불고기,10301
6,전라북도 남원시 관서당길 23,,37,A05,A0502,A05020100,1604693,39,20120417113103,,,127.3810267838,35.4044314860,6.0,20190304170402,6050,4,063-632-5566,가나안식당,55775
7,대전광역시 유성구 대덕대로 588,,3,A05,A0502,A05020500,250577,39,20071023000000,http://tong.visitkorea.or.kr/cms/resource/75/1944475_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/75/1944475_image3_1.jpg,127.3788898499,36.3853504089,6.0,20190730112645,32567,4,042-861-7557,가남지,34121
8,인천광역시 중구 연안부두로 61,,2,A05,A0502,A05020100,597467,39,20080729104018,http://tong.visitkorea.or.kr/cms/resource/74/1884774_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/74/1884774_image3_1.jpg,126.5998642696,37.4534884332,6.0,20190710133300,26511,10,032-882-8505,가덕도횟집,22348
9,경기도 남양주시 강변북로632번길 57-28,,31,A05,A0502,A05020200,798518,39,20090907101546,http://tong.visitkorea.or.kr/cms/resource/52/1788152_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/52/1788152_image3_1.jpg,127.1740748223,37.5878830684,6.0,20190425171131,19813,9,031-566-7777,가든갤러리,12268
10,경기도 이천시 부발읍 경충대로2300번길 21-7,,31,A05,A0502,A05020100,134960,39,20050328000000,http://tong.visitkorea.or.kr/cms/resource/12/1885112_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/12/1885112_image3_1.jpg,127.4733791122,37.2645370847,6.0,20191224172926,13748,26,031-636-9222,가든이천공원,17327
11,충청북도 제천시 수산면 월악로 2970,,33,A05,A0502,A05020100,2013680,39,20150706100209,http://tong.visitkorea.or.kr/cms/resource/31/2013731_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/31/2013731_image2_1.JPG,128.1772141504,36.9328993619,6.0,20190816092613,3771,7,043-651-2264,가람,27220
12,전라남도 여수시 화산로 20,,38,A05,A0502,A05020100,2507936,39,20170102000035,,,127.6408868078,34.7715294549,6.0,20190311151910,933,13,061-683-3559,가람복집,59643
13,전라남도 곡성군 곡성읍 읍내18길 6,,38,A05,A0502,A05020900,2640274,39,20191211141235,http://tong.visitkorea.or.kr/cms/resource/85/2640285_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/85/2640285_image2_1.jpg,127.2985233231,35.2825271685,6.0,20191211150942,0,3,061-363-0865,가랑드,57535
14,강원도 홍천군 두촌면 가리산길23번길 7,,32,A05,A0502,A05020100,608471,39,20080812153515,http://tong.visitkorea.or.kr/cms/resource/30/610830_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/30/610830_image3_1.jpg,128.0138244871,37.8381278478,6.0,20191017111930,16005,16,033-435-2704,가리산막국수,25164
15,경기도 양주시 장흥면 북한산로 1028,,31,A05,A0502,A05020100,2525533,39,20171226100132,http://tong.visitkorea.or.kr/cms/resource/27/2525527_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/27/2525527_image2_1.jpg,126.9712897230,37.7135870113,6.0,20190725102819,1259,18,031-861-4800,가마골백숙,11523
16,서울특별시 종로구 종로8길 16,,1,A05,A0502,A05020100,1953272,39,20141001104426,http://tong.visitkorea.or.kr/cms/resource/46/1953246_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/46/1953246_image2_1.JPG,126.9838371210,37.5693679015,6.0,20190830095240,4314,23,02-737-4987,가마목,03189
17,경상남도 거제시 동부면 동부로 2,,36,A05,A0502,A05020100,2577474,39,20181213094551,,,128.6074567052,34.8227324288,6.0,20190118134555,13,1,055-632-5363,가마솥국밥,53331
18,경상남도 거제시 거제중앙로5길 18,"(고현동),1층",36,A05,A0502,A05020100,2577481,39,20181213095917,,,128.6269535524,34.8777016369,6.0,20190118134631,21,1,055-637-8819,가마솥보리밥,53258
19,인천광역시 미추홀구 소성로326번길 4,,2,A05,A0502,A05020100,135696,39,20070613000000,http://tong.visitkorea.or.kr/cms/resource/54/1873754_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/54/1873754_image3_1.jpg,126.6832460000,37.4373973287,6.0,20191202110746,22898,3,032-426-7270,가마솥손두부,22238
20,대전광역시 중구 계백로 1709-20,(오류동),3,A05,A0502,A05020100,2580070,39,20181218174114,,,127.4091332973,36.3224359212,6.0,20190118145548,10,5,042-534-4866,가마솥집,34909
21,경상남도 창원시 의창구 북면 천주로 1019-22,1층,36,A05,A0502,A05020100,2575770,39,20181210132521,,,128.6025209409,35.3443933111,6.0,20190117150049,13,16,055-298-1115,가마솥추어탕,51103
22,울산광역시 울주군 범서읍 사일길 281,,7,A05,A0502,A05020100,2572145,39,20181203104547,,,129.2254153590,35.5859276589,,20190121180831,5,5,052-212-3355,가마정,44918
23,광주광역시 서구 상무대로 1104-26,,5,A05,A0502,A05020300,728386,39,20090427131226,http://tong.visitkorea.or.kr/cms/resource/74/1892774_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/74/1892774_image3_1.jpg,126.8838215936,35.1525153326,6.0,20190822165437,25347,5,062-352-7711,가매,61981
24,서울특별시 강북구 노해로 13,,1,A05,A0502,A05020400,1052741,39,20100630171221,http://tong.visitkorea.or.kr/cms/resource/34/1181034_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/34/1181034_image3_1.jpg,127.0226983297,37.6368246468,6.0,20191204151139,18782,3,02-990-0107,가문,01080
25,울산광역시 북구 명촌23길 53,(명촌동),7,A05,A0502,A05020100,2573961,39,20181205142333,,,129.3541716083,35.5567611393,,20190123143520,6,4,052-288-8812,가미횟집,44254
26,강원도 평창군 봉평면 이효석길 118-8,,32,A05,A0502,A05020100,2428116,39,20160929094755,,,128.3683103306,37.6109025709,6.0,20180206142751,420,15,033-336-0609,가벼슬,25304
27,인천광역시 부평구 평천로 394,,2,A05,A0502,A05020400,600680,39,20080731164818,http://tong.visitkorea.or.kr/cms/resource/71/1884871_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/71/1884871_image3_1.jpg,126.7340169236,37.5172167289,6.0,20191023130853,14699,6,032-512-8552,가보,21323
28,경기도 용인시 수지구 수풍로 103,,31,A05,A0502,A05020100,811327,39,20090928100607,,,127.0929894229,37.3329250750,6.0,20190417163829,19764,23,031-276-3880,가보정 4관,16821
29,경기도 수원시 팔달구 장다리로 282,,31,A05,A0502,A05020100,602895,39,20080804133022,http://tong.visitkorea.or.kr/cms/resource/30/817030_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/30/817030_image3_1.jpg,127.0286635731,37.2742501647,6.0,20190708175801,39813,13,1600-3883,가보정갈비,16481
30,경상남도 사천시 각산로 150,,36,A05,A0502,A05020100,1953998,39,20141006114053,http://tong.visitkorea.or.kr/cms/resource/96/1953396_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/96/1953396_image3_1.jpg,128.0583572879,34.9315021428,6.0,20190829180054,4437,8,055-835-8755,가빈,52555
31,충청북도 영동군 양산면 금강로 760,,33,A05,A0502,A05020100,686404,39,20090130095551,http://tong.visitkorea.or.kr/cms/resource/07/689607_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/07/689607_image3_1.jpg,127.6011326297,36.1249479950,6.0,20190527181610,19117,4,043-743-8665,가선식당,29160
32,전라북도 군산시 미원3길 13,(중앙로3가),37,A05,A0502,A05020100,2568267,39,20181121112038,,,126.7178152689,35.9810517672,,20190118142349,4,2,063-446-4613,가시리,54028
33,서울특별시 강남구 언주로133길 18,(논현동),1,A05,A0502,A05020100,570762,39,20080605152426,http://tong.visitkorea.or.kr/cms/resource/74/1490074_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/74/1490074_image3_1.jpg,127.0336896372,37.5163527344,6.0,20191107142322,20631,1,02-546-0056,가시리(본점),06053
34,제주특별자치도 서귀포시 표선면 가시로565번길 22,,39,A05,A0502,A05020100,1866904,39,20131203165159,,,126.7714966265,33.3530838622,6.0,20190918103741,3340,3,064-787-1035,가시식당,63623
35,경상남도 합천군 가야면 치인1길 16,,36,A05,A0502,A05020100,1905703,39,20140317113221,,,128.0876096332,35.7915973815,6.0,20190916103253,4355,21,055-932-7368,가야산 해인사 홍도식당,50200
36,경기도 평택시 탄현로 371,,31,A05,A0502,A05020400,1817987,39,20130610144909,http://tong.visitkorea.or.kr/cms/resource/23/1904023_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/23/1904023_image3_1.jpg,127.0583439300,37.0850920192,6.0,20191002105742,3496,28,031-666-7027<br />050-4359-7027,가야성,17754
37,부산광역시 연제구 월드컵대로145번길 32,,6,A05,A0502,A05020100,849929,39,20091030121645,http://tong.visitkorea.or.kr/cms/resource/15/1866815_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/15/1866815_image3_1.jpg,129.0798725132,35.1851949389,6.0,20190807105715,15800,13,051-865-8017,가야할매 밀면,47540
38,전라북도 전주시 덕진구 추천로 171,,37,A05,A0502,A05020100,404116,39,20080119223136,http://tong.visitkorea.or.kr/cms/resource/99/401399_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/99/401399_image3_1.jpg,127.1109168914,35.8514760845,6.0,20190219150022,19721,12,063-211-5366,가운데집,54845
39,전라남도 장성군 북하면 백양로 1102-1,,38,A05,A0502,A05020100,1985801,39,20150123172734,,,126.8791262589,35.4249205487,6.0,20190826151135,3810,19,061-392-7401,가을빛묵은지,57205
40,전라북도 무주군 설천면 만선1로 60,,37,A05,A0502,A05020100,135563,39,20070308000000,http://tong.visitkorea.or.kr/cms/resource/61/1983461_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/61/1983461_image3_1.jpg,127.7554693059,35.9047480294,6.0,20191226143420,19558,5,063-322-1188,가족마당,55555
