,addr1,addr2,areacode,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode
0,전라남도 신안군 흑산면 가거도길 41-2,(흑산면),38,A03,A0303,A03030600,131110,28,20030103000000,http://tong.visitkorea.or.kr/cms/resource/78/1628378_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/78/1628378_image3_1.jpg,125.1127923474,34.0713641740,6,20180427142929,22420,12,061-240-8620,가거도,58866
1,서울특별시 강동구 강동대로53길 12,(성내동),1,A03,A0303,A03030400,131912,28,20070404000000,,,127.1317249607,37.5233509086,6,20180509152755,31047,2,02-474-4712,가디언 클럽바다,05408
2,강원도 홍천군 두촌면 가리산길 260-9,(두촌면),32,A03,A0302,A03022700,789501,28,20090827174701,http://tong.visitkorea.or.kr/cms/resource/83/609383_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/83/609383_image3_1.jpg,127.9986614901,37.8543201254,6,20191023161532,21307,16,,가리산(홍천) 등산로,25164
3,경상북도 안동시 도산면 퇴계로 3443,(도산면),35,A03,A0303,A03030800,131976,28,20070620000000,http://tong.visitkorea.or.kr/cms/resource/19/1981519_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/19/1981519_image3_1.jpg,128.8896747256,36.7710063266,6,20180510103615,19051,11,054-852-2719,가송래프팅,36603
4,경상남도 김해시 인제로 502,(삼방동),36,A03,A0302,A03020700,130986,28,20030523000000,,,128.8958525873,35.2811530076,6,20180307105926,27073,4,055-337-0091,가야컨트리클럽,50811
5,경상남도 남해군 창선면 흥선로,(창선면),36,A03,A0303,A03030600,131361,28,20021129000000,,,128.0470814191,34.8959753709,6,20180409165130,20707,5,055-860-3354,가인리 바다낚시,52454
6,강원도 영월군 영월읍 동강로 576,(영월읍),32,A03,A0303,A03030800,131974,28,20070619000000,http://tong.visitkorea.or.kr/cms/resource/63/1822163_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/63/1822163_image3_1.jpg,128.5164530453,37.2225002107,6,20180510144126,25459,8,"033-374-9077, 033-375-9077",가지오래프팅,26223
7,경기도 가평군 설악면 유명로 2570,(설악면),31,A03,A0303,A03030100,1199416,28,20110209122756,,,127.4279811870,37.7215721604,6,20180502162737,28838,1,010-4110-2446,가평 레이크리조트,12459
8,경기도 가평군 가평읍 자라섬로 60,,31,A03,A0303,A03030100,2560413,28,20180912162852,http://tong.visitkorea.or.kr/cms/resource/02/2560402_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/02/2560402_image2_1.JPG,127.5210475885,37.8208928790,6,20180912163214,1296,1,,가평 자라섬테마파크,12421
9,경기도 가평군 가평읍 북한강변로 1044-15,(가평읍),31,A03,A0302,A03022400,131940,28,20070420000000,http://tong.visitkorea.or.kr/cms/resource/86/1900086_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/86/1900086_image3_1.jpg,127.5260031280,37.8060391429,6,20180821162805,42162,1,,가평TOP랜드 번지점프,12422
10,경기도 가평군 상면 둔덕말길 232,(상면),31,A03,A0302,A03020700,131810,28,20041013000000,http://tong.visitkorea.or.kr/cms/resource/79/1956079_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/79/1956079_image3_1.jpg,127.3102979474,37.8005691484,6,20180806154030,23127,1,,가평베네스트 골프클럽,12443
11,경기도 가평군 상면 깃대봉길 5-20,(상면),31,A03,A0302,A03021400,131520,28,20031216000000,http://tong.visitkorea.or.kr/cms/resource/88/531488_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/88/531488_image3_1.jpg,127.4023714214,37.7554760816,6,20190829145730,49685,1,,가평사계절썰매장,12446
12,경상남도 통영시 욕지면 갈도길,(욕지면),36,A03,A0303,A03030600,131091,28,20030528000000,,,128.1855223235,34.5654564250,6,20180413111402,19429,17,055-650-4553,갈도,53100
13,경상남도 통영시 욕지면 갈도길,(욕지면),36,A03,A0303,A03030600,131578,28,20020703000000,http://tong.visitkorea.or.kr/cms/resource/83/822483_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/83/822483_image3_1.jpg,128.1780648071,34.5588875823,6,20180502112100,21214,17,,갈도 남쪽 홈통,53100
14,인천광역시 동구 보세로 4,(만석동),2,A03,A0303,A03030600,131845,28,20060412000000,,,126.6231723099,37.4875209992,6,20180611163908,26829,5,032-765-4191,갈매기배낚시,22501
15,경상북도 경주시 감포읍 감포항구길,(감포읍),35,A03,A0303,A03030600,131083,28,20020709000000,http://tong.visitkorea.or.kr/cms/resource/55/1201055_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/55/1201055_image3_1.jpg,129.5060068276,35.8052138295,6,20180601164431,20455,2,054-779-8003,감포방파제,38125
16,경상북도 봉화군 명호면 명재로 16,(명호면),35,A03,A0303,A03030800,131968,28,20070601000000,http://tong.visitkorea.or.kr/cms/resource/24/1981524_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/24/1981524_image3_1.jpg,128.8898725378,36.8445729157,6,20180510112005,22430,8,054-674-0567,강나루래프팅,36254
17,경기도 광주시 새말길 353,(목동),31,A03,A0302,A03020700,131674,28,20030522000000,,,127.1823575630,37.3869398674,6,20180309133425,17662,5,031-719-0300,강남 300 컨트리클럽,12770
18,서울특별시 강남구 영동대로131길 26,(청담동),1,A03,A0302,A03020200,131139,28,20030527000000,http://tong.visitkorea.or.kr/cms/resource/23/2462023_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/23/2462023_image3_1.jpg,127.0541432145,37.5204498480,6,20180124134538,23174,1,02-544-9725,강남청소년수련관,06073
19,서울특별시 강동구 천호대로206길 87,(둔촌동),1,A03,A0302,A03021700,1017568,28,20100510102214,http://tong.visitkorea.or.kr/cms/resource/69/2030469_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/69/2030469_image3_1.jpg,127.1540697938,37.5358637478,6,20180709112651,19803,2,02-2045-7880,강동그린웨이 가족캠핑장,05357
20,서울특별시 강동구 양재대로138길 41,(명일1동),1,A03,A0302,A03020200,131454,28,20040227000000,http://tong.visitkorea.or.kr/cms/resource/38/1868038_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/38/1868038_image3_1.jpg,127.1462228904,37.5497508824,6,20180117144456,26598,2,02-3426-6211~3,강동청소년회관,05292
21,강원도 강릉시 수리골길 76,(교동),32,A03,A0302,A03020300,2525011,28,20171222155616,,,128.8969131510,37.7768796631,6,20190117133651,2301,1,,강릉 올림픽파크,25472
22,강원도 강릉시 강동면 정동역길 17,(포남동),32,A03,A0302,A03022700,1012554,28,20100430134533,http://tong.visitkorea.or.kr/cms/resource/28/1947328_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/28/1947328_image3_1.jpg,129.0326591356,37.6914477475,6,20180213111655,18155,1,033-645-0990,강릉바우길(9구간),25631
23,강원도 강릉시 강동면 임곡로 1-17,(강동면),32,A03,A0302,A03021100,131581,28,20030410000000,http://tong.visitkorea.or.kr/cms/resource/21/1813421_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/21/1813421_image3_1.jpg,128.9806293917,37.7266398851,6,20180517165250,22622,1,033-644-6264,강릉승마장,25626
24,강원도 강릉시 종합운동장길 32,(교동),32,A03,A0302,A03021300,2553644,28,20180713111940,,,128.8925247549,37.7737410517,6,20191022140301,1433,1,,강릉컬링센터 (강릉실내빙상장),25474
25,강원도 영월군 영월읍 동강로 878,(영월읍),32,A03,A0303,A03030800,131970,28,20070601000000,http://tong.visitkorea.or.kr/cms/resource/56/1822156_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/56/1822156_image3_1.jpg,128.5324010749,37.2406789762,6,20180511110759,22354,8,033-375-6925~6,강사랑래프팅,26222
26,전라북도 무주군 설천면 구천동로 1077,(설천면),37,A03,A0302,A03022600,507479,28,20080310104143,http://tong.visitkorea.or.kr/cms/resource/04/447604_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/04/447604_image3_1.jpg,127.7593021857,35.9089753954,6,20181221152732,17424,5,,강산에스키샵,55555
27,서울특별시 강서구 공항대로42길 23-19,(내발산동),1,A03,A0302,A03020200,131140,28,20021107000000,http://tong.visitkorea.or.kr/cms/resource/79/1805779_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/79/1805779_image3_1.jpg,126.8442724314,37.5564807920,6,20180109094122,8800,4,02-3664-2456~8,강서청소년회관,07647
28,강원도 고성군 토성면 잼버리로 244,(토성면),32,A03,A0302,A03020200,131169,28,20021126000000,http://tong.visitkorea.or.kr/cms/resource/65/217765_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/65/217765_image3_1.jpg,128.5001018583,38.2236339739,6,20190902162441,27379,2,,강원도 세계잼버리 수련장,24766
29,강원도 원주시 소초면 구룡사로 451,(소초면),32,A03,A0302,A03020200,131168,28,20030527000000,http://tong.visitkorea.or.kr/cms/resource/36/1947336_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/36/1947336_image3_1.jpg,128.0527560737,37.4038455606,6,20180517173118,17836,9,033-731-1600,강원도자연학습원,26304
30,강원도 춘천시 신샘밭로 89,(사농동),32,A03,A0302,A03020200,131456,28,20040227000000,http://tong.visitkorea.or.kr/cms/resource/27/1583527_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/27/1583527_image3_1.jpg,127.7202819941,37.9225208624,6,20180117094328,17764,13,033-255-6601~3,강원도청소년수련관,24207
31,강원도 정선군 사북읍 하이원길 265,(사북읍),32,A03,A0302,A03021000,131676,28,20030416000000,http://tong.visitkorea.or.kr/cms/resource/72/1846772_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/72/1846772_image3_1.jpg,128.8199594818,37.2126599135,6,20191016144834,31242,11,,강원랜드 카지노,26154
32,강원도 원주시 지정면 구재로 216,(지정면),32,A03,A0302,A03022600,513254,28,20080314143600,http://tong.visitkorea.or.kr/cms/resource/87/446987_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/87/446987_image3_1.jpg,127.7990234534,37.4031909163,6,20181220175145,14340,9,,강윤정프로샵(오크점),26357
33,강원도 춘천시 남산면 강촌로 150,,32,A03,A0302,A03020500,2605226,28,20190604142737,http://tong.visitkorea.or.kr/cms/resource/33/2368633_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/33/2368633_image3_1.jpg,127.6340960708,37.8058717180,6,20190604142737,0,13,,강촌 자전거 하이킹,24465
34,강원도 춘천시 신동면 김유정로 1383,(신동면),32,A03,A0305,A03050100,1947118,28,20140911145714,http://tong.visitkorea.or.kr/cms/resource/92/1780592_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/92/1780592_image3_1.jpg,127.7121081290,37.8156581405,6,20180528113233,5267,13,033-245-1000~2,강촌레일파크,24412
35,강원도 춘천시 남산면 서백길 68,(남산면),32,A03,A0302,A03022600,506905,28,20080307163826,http://tong.visitkorea.or.kr/cms/resource/02/692102_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/02/692102_image3_1.jpg,127.5514219783,37.8420326476,6,20181221131357,36282,13,,강촌스키보드타운,24464
36,강원도 춘천시 남산면 강촌구곡길 62-9,(남산면),32,A03,A0302,A03020200,131540,28,20040227000000,http://tong.visitkorea.or.kr/cms/resource/63/1846763_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/63/1846763_image3_1.jpg,127.6299381008,37.8063826926,6,20180109103603,15206,13,033-262-1201~2,강촌유스호스텔,24465
