,addr1,addr2,areacode,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode
0,제주특별자치도 제주시 도리로 40,(이호일동),39,A04,A0401,A04010600,2531423,38,20180112171418,http://tong.visitkorea.or.kr/cms/resource/78/2529778_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/78/2529778_image3_1.jpg,126.4574206194,33.4969573861,6.0,20190318145303,159,4,064-745-3688,㈜다원코리아 [한국관광 품질인증/Korea Quality],63108
1,제주특별자치도 제주시 한천로 29,(용담이동),39,A04,A0401,A04010600,2531429,38,20180115093031,http://tong.visitkorea.or.kr/cms/resource/94/2529794_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/94/2529794_image3_1.jpg,126.5086382774,33.5018771002,6.0,20190318113237,89,4,010-5782-2282,㈜제주참앤참 [한국관광 품질인증/Korea Quality],63162
2,충청북도 청주시 흥덕구 가경로149번길 24-2,,33,A04,A0401,A04010200,1433504,38,20111110164944,,,127.4358669978,36.6278652990,6.0,20190313110730,10657,10,043-232-1117,가경 터미널시장,28393
3,서울특별시 중구 명동8가길 33 1층 가나안경원,,1,A04,A0401,A04010600,984586,38,20100324124214,http://tong.visitkorea.or.kr/cms/resource/71/2634671_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/71/2634671_image2_1.jpg,126.9869342710,37.5619604852,6.0,20191113141147,11157,24,02-753-6372,가나 안경원 (명동2호점),04537
4,서울특별시 송파구 충민로 66,(문정동),1,A04,A0401,A04010600,732484,38,20090511144754,http://tong.visitkorea.or.kr/cms/resource/78/1920578_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/78/1920578_image3_1.jpg,127.1229354097,37.4770061292,6.0,20181120111716,16603,18,02-2157-0100,가든 파이브 (Garden5),05838
5,서울특별시 송파구 양재대로 932,(가락동),1,A04,A0401,A04010200,132215,38,20031117000000,http://tong.visitkorea.or.kr/cms/resource/84/1920584_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/84/1920584_image3_1.jpg,127.1109831778,37.4960925880,6.0,20180302154415,53658,18,"02-3435-1000, 0400",가락시장(가락농수산물 도매시장),05699
6,경상남도 합천군 가야면 황산3길 11-2,,36,A04,A0401,A04010100,132156,38,20020423000000,,,128.1374393986,35.7609461973,6.0,20190219144523,13048,21,055-930-3353,"가야장 (5, 10일)",50201
7,경기도 가평군 가평읍 읍내리 473-15,,31,A04,A0401,A04010200,132785,38,20070508000000,http://tong.visitkorea.or.kr/cms/resource/58/1787158_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/58/1787158_image3_1.jpg,127.5138035337,37.8301055617,6.0,20180607155418,21486,1,가평군청 031-580-2114,가평 잣고을 전통시장,12419
8,경기도 가평군 조종면 현창로44번길 14,,31,A04,A0401,A04010100,132786,38,20070508000000,http://tong.visitkorea.or.kr/cms/resource/62/1787162_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/62/1787162_image3_1.jpg,127.3489299800,37.8196343032,6.0,20180605155418,27960,1,031-585-1014,"가평 현리5일장 (4, 9일)",12437
9,경기도 가평군 가평읍 장터2길 10,,31,A04,A0401,A04010100,131982,38,20020417000000,http://tong.visitkorea.or.kr/cms/resource/13/2364413_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/13/2364413_image3_1.jpg,127.5148701128,37.8297750647,6.0,20190221154848,21660,1,,"가평5일장 / 잣고을전통시장 (5, 10일)",12419
