,addr1,addr2,areacode,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,modifiedtime,readcount,sigungucode,tel,title,mlevel,zipcode
0,전라남도 완도군 청산면 당락리,656,38,A02,A0203,A02030400,2518765,12,20171130000022,http://tong.visitkorea.or.kr/cms/resource/23/2026123_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/23/2026123_image3_1.jpg,126.8621585545,34.1718000440,20180720143515,320,18,061-550-6495,‘서편제’ 촬영지,,
1,강원도 고성군 죽왕면 심층수길 124-19,(죽왕면),32,A02,A0204,A02040600,2360786,12,20160111104045,http://tong.visitkorea.or.kr/cms/resource/75/2360775_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/75/2360775_image2_1.jpg,128.5216381039,38.3343742648,20190426135213,3693,2,033-638-9900,㈜강원심층수,6.0,24747
2,전라남도 신안군 흑산면 가거도길 38-2,(흑산면),38,A01,A0101,A01011300,127480,12,20030905000000,http://tong.visitkorea.or.kr/cms/resource/35/1571735_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/35/1571735_image3_1.jpg,125.1125145360,34.0740166502,20191217105113,129535,12,,가거도(소흑산도),6.0,58866
3,전라남도 진도군 고군면 신비의바닷길 47,(고군면),38,A01,A0101,A01011200,126273,12,20031107000000,http://tong.visitkorea.or.kr/cms/resource/17/1608017_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/17/1608017_image3_1.jpg,126.3547412438,34.4354594945,20180621140520,47243,21,,가계해변,6.0,58911
4,경상남도 창원시 마산합포구 성호서7길 15-8,(추산동) 일대,36,A02,A0203,A02030600,2019720,12,20150720180848,http://tong.visitkorea.or.kr/cms/resource/55/2033255_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/55/2033255_image3_1.jpg,128.5696552845,35.2077664004,20191120155431,8144,16,,가고파 꼬부랑길 벽화마을,6.0,51281
5,경기도 양주시 장흥면 권율로 117,(장흥면),31,A02,A0202,A02020700,129194,12,20060807000000,http://tong.visitkorea.or.kr/cms/resource/46/2010746_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/46/2010746_image3_1.jpg,126.9497496852,37.7254519094,20191216175130,29942,18,,가나아트파크,6.0,11520
6,부산광역시 강서구 가덕해안로 1237,(대항동),6,A01,A0101,A01011600,129156,12,20060719000000,http://tong.visitkorea.or.kr/cms/resource/88/1982388_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/88/1982388_image3_1.jpg,128.8295937487,35.0006471157,20180724173504,46597,1,,가덕도 등대,6.0,46771
7,경기 가평군 북면,", 강원도 춘천시 서면",31,A01,A0101,A01010400,125462,12,20030331000000,http://tong.visitkorea.or.kr/cms/resource/23/1900123_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/23/1900123_image3_1.jpg,127.5683098007,37.9202321907,20191204154106,25446,1,,가덕산,6.0,477-840
8,경상남도 거제시 남부면 다대리,(남부면),36,A01,A0101,A01010400,127257,12,20031029000000,http://tong.visitkorea.or.kr/cms/resource/96/217696_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/96/217696_image3_1.jpg,128.6303346514,34.7410502933,20180703102621,36945,1,,가라산,6.0,53322
9,충청북도 청주시 상당구 탑동로 95-5,(용담동),33,A02,A0203,A02030400,2384364,12,20160519154336,,,127.5024941967,36.6335852819,20191115105406,2066,10,,가락공방,6.0,28522
10,강원 홍천군 내촌면 와야리,,32,A01,A0101,A01010800,125658,12,20030806000000,http://tong.visitkorea.or.kr/cms/resource/55/1842055_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/55/1842055_image3_1.jpg,128.1601919204,37.8328951114,20181205172225,29420,16,,가령폭포,7.0,250-863
