,addr1,areacode,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,addr2
0,서울특별시 송파구 양재대로 932,1,A02,A0207,A02070200,2509701,15,20171010154704,http://tong.visitkorea.or.kr/cms/resource/42/2623942_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/42/2623942_image2_1.png,127.1109831778,37.4960925880,6.0,20191010162000,8205,18,02-3435-1000,가락몰 페스티벌 2019,05699,
1,강원도 정선군 북평면 중봉길 41-35,32,A02,A0207,A02070200,2614885,15,20190809152120,http://tong.visitkorea.or.kr/cms/resource/77/2614877_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/77/2614877_image2_1.jpg,128.6097538017,37.4742535268,6.0,20190809152120,0,11,070-7700-9011 / 033-560-3017,가리왕산 뮤직 페스티벌 2019,26100,
2,전라북도 전주시 덕진구 기린대로 451,37,A02,A0207,A02070200,2386828,15,20160603094041,http://tong.visitkorea.or.kr/cms/resource/54/2609054_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/54/2609054_image2_1.jpg,127.1271379505,35.8407442535,6.0,20190725092611,35598,12,070-8870-6870,가맥축제 2019,54894,(덕진동1가)
3,충청남도 부여군 규암면 백제문로 388,34,A02,A0208,A02080100,1258353,15,20110418095420,http://tong.visitkorea.or.kr/cms/resource/54/2483454_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/54/2483454_image2_1.JPG,126.8997016069,36.3048428766,6.0,20190211170707,56458,6,041-832-5765,가무악극으로 만나는 토요 상설공연 2019,33115,
4,경상남도 김해시 가야의길 126,36,A02,A0207,A02070200,694576,15,20090217170108,http://tong.visitkorea.or.kr/cms/resource/01/2487801_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/01/2487801_image2_1.JPG,128.8731002475,35.2360687598,6.0,20190218152033,51212,4,055-330-3958,가야문화축제 2019,50917,(대성동)
5,경상남도 밀양시 중앙로 324 영남루 및 밀양강 야외 공연장 일대,36,A02,A0208,A02081300,2508344,15,20170921172631,http://tong.visitkorea.or.kr/cms/resource/69/2621169_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/69/2621169_image2_1.jpg,128.7552590901,35.4921350361,6.0,20191010164228,2050,7,055-359-4527,"가을 밀양강 오딧세이 ""아리랑 환타지! 밀양!"" 2019",50431,
6,경기도 광주시 도척면 도척윗로 278,31,A02,A0207,A02070200,2624592,15,20191014161933,http://tong.visitkorea.or.kr/cms/resource/87/2624587_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/87/2624587_image2_1.png,127.2922239974,37.3374836915,6.0,20191031134203,0,5,031-8026-6666,가을 화담숲 단풍 축제 2019,12809,
7,"부산광역시 부산진구 서면문화로 32 3,4층",6,A02,A0207,A02070200,2616108,15,20190820132225,http://tong.visitkorea.or.kr/cms/resource/05/2616105_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/05/2616105_image2_1.jpg,129.0563669161,35.1599862176,6.0,20190909173241,0,7,070-4880-2678,가을맥주페스타 2019,47256,
8,부산광역시 사하구 낙동남로1233번길 1,6,A02,A0207,A02070200,2615383,15,20190816100744,http://tong.visitkorea.or.kr/cms/resource/66/2615366_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/66/2615366_image2_1.jpg,128.9474472484,35.1083149990,6.0,20190816141423,0,10,"낙동강문화관 (연락처) 051-292-1042, 사하구건강가정지원센터 (연락처) 051-203-4588",가족사랑 걷기대회 2019,49300,(하단동)
9,강원도 고성군 죽왕면 삼포리 1-1,32,A02,A0207,A02070200,2541578,15,20180403150716,http://tong.visitkorea.or.kr/cms/resource/73/2541573_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/73/2541573_image2_1.jpg,128.5370623742,38.3128520737,6.0,20190402175430,10074,2,1666-5683,가족여행과 함께하는 고성 오션투유 삼포해수욕장 연날리기 축제 2019,24750,
10,서울특별시 서대문구 증가로10길 28,1,A02,A0208,A02081300,2624154,15,20191011161520,http://tong.visitkorea.or.kr/cms/resource/48/2624148_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/48/2624148_image2_1.jpg,126.9238923275,37.5784852121,6.0,20191016103109,0,14,02-3140-8028,"가좌아트위크 '잠시, 쉬어가좌' 2019",03665,
