,addr1,addr2,areacode,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,overview,sigungucode,tel,telname,title,zipcode,homepage
0,전라남도 신안군 흑산면 가거도길 41-2,(흑산면),38,A03,A0303,A03030600,131110,28,20030103000000,http://tong.visitkorea.or.kr/cms/resource/78/1628378_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/78/1628378_image3_1.jpg,125.1127923474,34.071364174,6.0,20180427142929,"국토의 최서남단에 위치한 가거도는 목포에서 남서쪽으로 145km의 거리에 있고, 면적은 9.18㎢, 해안선 길이는 22㎞에 이른다. 우리나라 갯바위 5대 지역의 하나이자 서해 최서남단에 위치한 섬으로, 홍도에서도 중국 상해 쪽으로 80㎞나 더 떨어져 있어 중국의 새벽닭 울음소리가 들려오기도 하는 곳이다. 마을은 1구(대리), 2구(향리), 3구(대풍리) 등 3개 자연부락으로 되어 있는데,  각 포인트 간은 배편을 이용하지 않고 도보로 진입할 수 있는 곳이 많으며, 특히 2구 부락에는 낚시배, 민박시설 등 낚시인들을 위한 제반시설과 함께 낚시가이드의 수준 또한 최상급이다.<br /> 가거도는 주변해역의 수심이 깊고 해저가 대부분 암초지대로 이루어져 있어 어종이 다양하다. 우리나라 갯바위 최후의 보루라고 말할 정도로 6월 초순경이면 농어와 참돔, 우럭이 선을 보이고, 6월말에서 7월 중순까지 돌돔이 가세하여 전반기 시즌을 형성하는 국내 최고의 감성돔, 돌돔, 볼락 낚시터로 손꼽히는 만큼 갯바위, 방파제 가릴 것 없이 아무데나 낚싯대를 드리우기만 하면 금세 입질을 받을 수 있다. 특히 섬 북쪽의 국흘도 일대에 좋은 포인트들이 많다. 연중 낚시가 가능하지만 육지로부터의 거리가 멀고 파도의 영향을 많이 받아 배의 결항이 심한 지역이다.<br>",12,061-240-8620,흑산면사무소,가거도,58866,
1,서울특별시 강동구 강동대로53길 12,(성내동),1,A03,A0303,A03030400,131912,28,20070404000000,,,127.1317249607,37.5233509086,6.0,20180509152755,"서울 올림픽공원 북2문 앞에 위치한 가디언 클럽은 정직과 신뢰를 바탕으로 철저하고 성실한 안전교육을 실시한다. 넓고 편리한 교육시스템으로 회원의 수상안전과 즐거움을 위하여 최상의 노력을 하고 있다. 정회원의 평생관리, 국내.외 연중투어를 실시하며 다양한 잠수 활동(프로그램)으로 회원에게 만족을 드리고, 철저한 A/S, 중고장비 매매 등, 합리적인 가격으로 정당한 서비스를 받을 수 있으며, 43세트의 장비를 보유하고 있는 국내 최대의 렌탈점이기도 하다.<br>",2,02-474-4712,가디언 클럽바다,가디언 클럽바다,05408,
2,강원도 홍천군 두촌면 가리산길 260-9,(두촌면),32,A03,A0302,A03022700,789501,28,20090827174701,http://tong.visitkorea.or.kr/cms/resource/83/609383_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/83/609383_image3_1.jpg,127.9986614901,37.8543201254,6.0,20191023161532,"해발 1,051m의 고산으로 춘천시와 홍천군의 경계지역에 위치하며, 산 정상에 서면 탁 트인 시야와 발 아래로 펼쳐진 소양호의 풍경이 등산객들의 발을 묶는 곳이다. 산자락 밑에 위치한 조그마한 폭포의 물소리가 사람들의 마음을 포근히 감싸주며, 이곳에서부터 계곡과 능선을 따라 등산이 시작된다.이 산은 우거진 숲과 노송들이 등산객들을 맞아주고 정상을 오르게 되면, 1봉 남쪽에는 홍천강으로 발원하는 사시사철 끓이지 않는 석청수 작은 샘물이 등산객을 기다리고 있는 곳이기도 하다.소양호 쪽으로 하산길을 택하면 배를 타고 피로를 풀 수 있는 등 각 코스마다의 즐거움이 기다리고 있는 아름다운 산이다.이 일대를 1995년 7월 홍천군이 가리산자연휴양림으로 개장하여 통나무집, 야영장, 체육시설을 이용하는 가족휴양지로 각광을 받고 있다.<br /><br />* 면적 305ha <br>",16,,,가리산(홍천) 등산로,25164,"홍천문화관광 <a href=""http://www.great.go.kr"" target=""_blank"" title=""새창 : 홍천문화관광 홈페이지로 이동"">http://www.great.go.kr</a>"
3,경상북도 안동시 도산면 퇴계로 3443,(도산면),35,A03,A0303,A03030800,131976,28,20070620000000,http://tong.visitkorea.or.kr/cms/resource/19/1981519_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/19/1981519_image3_1.jpg,128.8896747256,36.7710063266,6.0,20180510103615,"뛰어난 자연 경관과 함께하는 레포츠, 가송래프팅<br>
<br>
 경상북도 안동시 도산면에 있는 가송리 지역은 국도 35호선, 도산서원, 산림박물관, 국학진흥원과 연계한 교육적 체험을 할 수 있는 곳이다.  또한 낙동강과 청량산 도립공원이 있어 자연경관이 뛰어나다. 이러한 관광 자원을 기초하여 이곳을 찾는 관광객들이 많다. <br>
<br>
이러한 가송리에 위치하고 있는 가송래프팅은 청량산 청정수와 수려한 자연경관이 주는 편안함으로 일상에서 탈피, 스트레스 해소로 에너지 충전의 기회를 제공한다. 그리고 21세기를 짊어지고 나갈 젊은이들에게 새로운 모험정신을 부여하고 길이 없어 가지 못하는 주변에 산재 되어 있는 자연생태계를 체험함으로서 환경보호의 산 교육장으로서의 의미를 부여한다. 가송래프팅을 통하여 상호 이해력과 조직원으로서의 자긍심을 증진 시키고 자연의 위대함을 몸으로 느낄 수 있을 것이다. <br>
<br>
 가사와 송오에서 온 이름, 가송리의 유래 <br>
<br>장군봉, 건지산으로 둘러싸여 있으며, 낙동강이   굽이져 흐르는 곳에 위치한 가송리. 전형적인 배산임수형의 농촌 마을이다. 가송리에서 가장 큰 마을은 가사리인데 낙동강 강가에 위치하여 붙여진 이름이며, 고리재는 고리재 밑에 있는 마을이다. 송오는 월명소와 사평소가 있다고 한다. 가송리는 가사와 송오의 이름을 따서 생긴 이름이다.",11,054-852-2719,가송래프팅,가송래프팅,36603,"가송래프팅 <a href=""http://www.gasong.net"" target=""_blank"" title=""새창 : 가송래프팅 홈페이지로 이동"">http://www.gasong.net</a>"
4,경상남도 김해시 인제로 502,(삼방동),36,A03,A0302,A03020700,130986,28,20030523000000,,,128.8958525873,35.281153007600004,6.0,20180307105926,"가야컨트리클럽은 김해 신어산 자락에 자리하고 있으며 현재 회원제 45홀, 퍼블릭 9홀로 이루어진 총 54홀의 매머드급 규모의 골프장이다. 신어코스, 낙동코스, 김해코스, 수로코스, 가락코스, 퍼블릭코스의 6개 코스가 있다. <br />
신어코스는 아기자기한 여성미를 느낄 수 있는 코스이며 수림과 지형지물을 잘 활용하여 설계되어 있다. 낙동코스는 신어산 서남능선을 깎아서 조성되었는데 웅장한 남성미가 느껴지면서도 공략에는 그다지 무리가 없이 평탄한 편이다. 김해코스는 부채꼴 모양의 분지를 자연지형 그대로 살려 설계한 코스로 자연미가 물씬 풍긴다. <br />
지역사업의 일환으로 시민 휴양, 위락 시설인 가야랜드, 청소년 연수원, 수영장, 테니스장 외에 자연학습장, 캠프장 등의 시민 휴식공간의 확대와 각종 편의시설을 확충하며 시민들에게 휴식공간과 레저시설을 제공하고 있다. <br>",4,055-337-0091,가야컨트리클럽,가야컨트리클럽,50811,"<a href=""http://www.gayacc.com/"" target=""_blank"" title=""새창 : 가야컨트리클럽 홈페이지로 이동"">http://www.gayacc.com/</a>"
5,경상남도 남해군 창선면 흥선로,(창선면),36,A03,A0303,A03030600,131361,28,20021129000000,,,128.0470814191,34.895975370900004,6.0,20180409165130,"가인리 해안의 바다낚시 포인트는 삼천포항 맞은편에 위치하며, 주위의 경관이 빼어나다. 가인리 화석산지 또한 볼거리이다.<br>",5,055-860-3354,남해군청 해양수산과,가인리 바다낚시,52454,
6,강원도 영월군 영월읍 동강로 576,(영월읍),32,A03,A0303,A03030800,131974,28,20070619000000,http://tong.visitkorea.or.kr/cms/resource/63/1822163_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/63/1822163_image3_1.jpg,128.5164530453,37.222500210700005,6.0,20180510144126,"가지오래프팅은 동강에서 래프팅, 서바이벌, 4륜오토바이 등 다양한 레저를 즐길 수 있다. 동강은 오대산 월정사계곡에서 진부를 거친 오대천, 동면의 화암구곡, 정선 소금강을 훑고 내려온 동대천, 그 물이 조양강도 되고 정선 가수리에서 합쳐져 영월땅으로 접어들면서 동강이 된다.  하얀물 포말이 생기는 물살빠른 여울과 혹은 도도히 흘러가는 옥빛 물길, 그리고 강 양안의 깍아지른 기암 절벽과 가파른 청록빛 산봉우리들이 병풍처럼 끝없이 이어지는 한폭의 실물 산수화. 이것이 동강이다. 
동강에서도 최고의 절경지는 어라연이다. 어라연은 저녁 무렵 물고기들이 물밖으로 뛰오르며 내보이는 비늘이 마치 비단처럼 반짝였다고 하여 붙여진 이름. 예전만큼은 아니라도 지금도 이름에 걸맞게 맑고 깨끗한 물이 보는 이들의 마음까기 시원케 한다. 이는 우리나라에서 물이 가장 좋은 곳을 택할때면 항상 첫번째로 언급되는 곳이 바로 어라연인 것만 보아도 알 수 있다. 어라연은 영월에서 동강을 따라 12km정도를 거슬러 올라간 지점에 있다. 정선에서 한강까지의 천리길을 막 시작한 물즐기가 영월 초입에서 처음으로 물굽이를 급회전하며 한차례 쉬게 되는데, 그 곳이 바로 어라연인 셈이다. 어라연은 물의 깨끗함 이상으로 주위의 경관 또한 아름답다. 물이 직각으로 굽이치면서 자연스레 중간에 섬이 만들어져 있고 작은 섬안에는 세개의 큰 기암이 머리에 소나무 관을 쓴채 자리를 잡고 있다. 또 계곡 양쪽으로는 천길단애의 절벽으로 시원함과 신비감을 동시에 느끼게 한다. 그러나 물길을 따라 양쪽이 절벽이어서 걸어서 어라연의 절경을 감상하기는 힘들다. 때문에 문산나루에서 물길을 이용해 거운리까지 내려오는 래프팅코스가 동강 최고의 여행코스이자 레저코스다.<br>",8,"033-374-9077, 033-375-9077",가지오래프팅,가지오래프팅,26223,"가지오래프팅 <a href=""http://www.gajio.co.kr"" target=""_blank"" title=""새창 : 가지오래프팅홈페이지로 이동"">http://www.gajio.co.kr</a>"
7,경기도 가평군 설악면 유명로 2570,(설악면),31,A03,A0303,A03030100,1199416,28,20110209122756,,,127.42798118700001,37.7215721604,6.0,20180502162737,"레이크 수상레저타운은 가평의 아름다운 경치를 자랑하는 청평호반에 수려한 풍경을 감상하며 수상레저를 즐길 수 있는 곳으로 수상스키, 웨이크보드, 제트스키 등의 다양한 수상레저 시설이 마련되어 있으며, 잘 숙련된 강사진과 철저한 안전관리 등으로 편안하고 안전하게 수상 레포츠를 즐길 수 있다. 또 초보자를 위한 강습 프로그램도 운영하고 있어 초보자도 쉽게 배울 수 있다. 수상레저시설로는 수상스키 및 웨이크보드, 바나나보트, 플라이피쉬, 땅콩보트, 제트스키, 모터보트 등이 있고, 넓은 선착장에는 휴게시설과 썬탠시설, 계류장, 화장실과 샤워장 등의 부대시설이 잘 갖춰져 있다. 또 족구장과 식당, 방갈로 등도 함께 운영하고 있어 개인 및 단체 모임으로 수상 레저를 즐기기에 아주 적합하다.<br>",1,010-4110-2446,레이크수상레저타운,가평 레이크리조트,12459,"가평 레이크리조트 <a href=""http://lakeresort.kr"" target=""_blank"" title=""새창 : 레이크수상레저타운 홈페이지로 이동"">http://lakeresort.kr</a>"
8,경기도 가평군 가평읍 자라섬로 60,,31,A03,A0303,A03030100,2560413,28,20180912162852,http://tong.visitkorea.or.kr/cms/resource/02/2560402_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/02/2560402_image2_1.JPG,127.52104758850001,37.820892879,6.0,20180912163214,"서울 근교의 종합 수상스포츠레져타운으로 사계절 내내 다양한 축제 및 수상레져 스포츠 카누,오리배,수상자전거,래프팅,야외수영장과 치킨,피자등 다양한먹거리가~ 사랑과 낭만이 샘솟는 자라섬테마파크에서 즐거운 추억을 만들 수 있다.",1,,,가평 자라섬테마파크,12421,
9,경기도 가평군 가평읍 북한강변로 1044-15,(가평읍),31,A03,A0302,A03022400,131940,28,20070420000000,http://tong.visitkorea.or.kr/cms/resource/86/1900086_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/86/1900086_image3_1.jpg,127.526003128,37.8060391429,6.0,20180821162805,"가평TOP랜드는 남이섬으로 들어가는 선착장 입구에 위치하고 있으며, 55m번지점프와 수상레포츠를 운영하고 있다.<br>",1,,가평TOP랜드,가평TOP랜드 번지점프,12422,"가평TOP랜드 <a href=""http://www.ktopland.co.kr"" target=""_blank"" title=""새창 : 가평TOP랜드 홈페이지로 이동"">http://www.ktopland.co.kr</a>"
