,addr1,addr2,areacode,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,homepage,mapx,mapy,mlevel,modifiedtime,overview,sigungucode,tel,telname,title,zipcode
0,제주특별자치도 제주시 도리로 40,(이호일동),39,A04,A0401,A04010600,2531423,38,20180112171418,http://tong.visitkorea.or.kr/cms/resource/78/2529778_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/78/2529778_image3_1.jpg,"<a href=""http://dawonkorea.co.kr/"" target=""_blank"" title=""새창 : ㈜다원코리아 홈페이지로 이동"">http://dawonkorea.co.kr</a>",126.45742061940001,33.4969573861,6.0,20190318145303,"
다원코리아는 외국인 전용 면세점을 운영하는 기업이다. 지상 2층 규모에 총 8개 쇼룸으로 구성된 외국인 전용 면세점과 중국, 홍콩, 말레이시아, 마카오에 현지 총판을 운영한다. 다원코리아는 업계 최초로 간 기능 개선과 관련해 특허 등록된 헛개나무 열매를 원료로 사용한 건강기능식품을 선보였다. 또 국내 최초로 식품의약품안전처로부터 간 관련 기능성 원료 개별 인정을 획득해 알코올성 손상으로부터 간을 보호하는 기능을 인정받았다. 특허기술 확보를 통한 차별화된 상품 개발이야말로 다원코리아가 만든 상품의 신뢰도를 높이는 바탕이 된다. 다원코리아는 제품 판매 향상을 위해서도 노력하고 있다. 체계적인 고객만족(CS) 교육을 통해 고객 눈높이 서비스를 시행하며, 판매 후 관리 역시 체계적으로 이뤄진다. 최근 단체 관광객보다 개별 자유여행자가 늘어나는 여행업 변화에 맞춰 개별 여행자를 위한 다양한 상품 구비, 서비스 전략을 펼치고 있다.  
<br>",4,064-745-3688,김혜선,㈜다원코리아 [한국관광 품질인증/Korea Quality],63108
1,제주특별자치도 제주시 한천로 29,(용담이동),39,A04,A0401,A04010600,2531429,38,20180115093031,http://tong.visitkorea.or.kr/cms/resource/94/2529794_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/94/2529794_image3_1.jpg,"<a href=""http://www.ugb.co.kr"" target=""_blank"" title=""새창 : ㈜제주참앤참 홈페이지로 이동"">http://www.ugb.co.kr</a>",126.5086382774,33.5018771002,6.0,20190318113237,"
(주)제주참앤참은 화장품 전문 면세점을 운영한다. 동남아시아 개별 자유여행자와 단체 관광객을 대상으로 하며, 주력 상품은 홍삼을 주재료로 만든 코즈메틱 브랜드 구본초의 제품들이다. 이 외에 한국에서 유통, 판매되는 화장품을  판매한다. 구본초 화장품은 인삼과 홍삼, 산삼 등 한방 재료를 이용해 만든 고품격 한방 화장품이다. 콜라겐 마스크 팩과 기능성 제품인 앰풀류, 각종 크림 등 다양한 제품군을 갖췄다. 이 상품들을 제주참앤참에서 만날 수 있다. 이 밖에 코리아나, 미샤, 라네즈, 더페이스샵 등 국내외에서 인기가 높은 다양한 화장품 브랜드도 함께 다룬다. 1층은 단독 매장 형태로 꾸며졌으며 넓고 쾌적해 쇼핑하기 좋다. 점원 모두 중국어를 구사해 중화권 관광객들이 이용하기 편하다.  
<br>",4,010-5782-2282,김명현,㈜제주참앤참 [한국관광 품질인증/Korea Quality],63162
2,충청북도 청주시 흥덕구 가경로149번길 24-2,,33,A04,A0401,A04010200,1433504,38,20111110164944,,,,127.4358669978,36.627865299,6.0,20190313110730,"충북 
청주시 흥덕구 가경동에 위치한 상설 재래시장이다. 논밭이었던 이곳은 시외버스터미널이 
시내로부터 옮겨오면서 발전하여 현재의 상권이 자리잡게되었다. 또한 버스터미널과 
아파트 신축에 따른 주민의 증가로 가경터미널 시장이 1994년부터 자연스럽게 형성되었다. 
잡화, 이불, 축산물, 청과, 그릇 등을 취급한다. <br>",10,043-232-1117,가경터미널시장 상인회,가경 터미널시장,28393
3,서울특별시 중구 명동8가길 33 1층 가나안경원,,1,A04,A0401,A04010600,984586,38,20100324124214,http://tong.visitkorea.or.kr/cms/resource/71/2634671_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/71/2634671_image2_1.jpg,"<a href=""https://www.facebook.com/GANAOPTICAL"" target=""_blank"" title=""새창: 행사 홈페이지로 이동"">https://www.facebook.com/GANAOPTICAL</a>",126.98693427100001,37.5619604852,6.0,20191113141147,"가나안경원은 30년 전통의 안경 전문점으로 신속, 정확, 저렴이라는 가치아래 고급의 제품을 합리적인 가격에 판매하고 있다. 오래된 역사가 있는만큼 경력이 풍부한 안경사들의 정확한 검안이 특징이다. 국내산 제품에서 부터 외국 최고급 제품까지 각양각색의 디자인 안경을 갖추고 있어 고르는 재미를 더해준다. 정확한 검안 후 20~30분 안에 안경을 받아볼 수 있다.",24,02-753-6372,김학중,가나 안경원 (명동2호점),04537
4,서울특별시 송파구 충민로 66,(문정동),1,A04,A0401,A04010600,732484,38,20090511144754,http://tong.visitkorea.or.kr/cms/resource/78/1920578_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/78/1920578_image3_1.jpg,"<a href=""http://www.garden5.com"" target=""_blank"" title=""가든 파이브 홈페이지로 이동"">http://www.garden5.com</a>",127.12293540969999,37.4770061292,6.0,20181120111716,"가든파이브는 
단순한 쇼핑공간이 아니라 거대한 문화복합단지이다. 쇼핑, 문화, 오락, 휴식 
등 원하는 모든 것을 동시에 즐길수 있는곳. 패션, 생활용품, 전자제품, 산업제품, 
공구소재까지 필요한 모든 것을 한번에 만날수 있는곳. 생산과 판매, 도매와 소매가 
한곳에서 이뤄지는 진정한 원스톱 문화쇼핑을 즐거움을 모두 실현하는 가든파이브. 
가든파이브는 
교통이 복잡한 남대문, 동대문상권의 한계를 뛰어넘어 러시아, 동남아, 남미 등 세계 
고객까지 끌어들인다는 비전으로 미래형 문화특구의 청사진을 실현한다.<br>",18,02-2157-0100,가든파이브,가든 파이브 (Garden5),05838
5,서울특별시 송파구 양재대로 932,(가락동),1,A04,A0401,A04010200,132215,38,20031117000000,http://tong.visitkorea.or.kr/cms/resource/84/1920584_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/84/1920584_image3_1.jpg,"농수산물식품공사 <a href=""http://www.garak.co.kr/gongsa/jsp/mk/marketinfo/garak_overview201109.jsp"" target=""_blank"" title=""가락시장 안내페이지로 이동"">http://www.garak.co.kr</a>",127.11098317780001,37.496092588,6.0,20180302154415,"송파구 가락동 현대 아파트 앞에 자리잡은 가락동 시장은 국내 최대의 농수산물 도매시장
 이다. 1985년 청과시장과 수산시장이 처음 문을 열면서 국내 최고의 농수산물 유통단지로
 성장해왔고 1986년에는 축산시장, 1988년에는 기타 직판시장이 각각 들어서면서 오늘날의
 규모로 자리잡았다. 16만 4천여 평에 달하는 부지에 각종 시장 건물 17동이있다.<br>",18,"02-3435-1000, 0400",가락동 농수축산물시장,가락시장(가락농수산물 도매시장),05699
6,경상남도 합천군 가야면 황산3길 11-2,,36,A04,A0401,A04010100,132156,38,20020423000000,,,,128.1374393986,35.7609461973,6.0,20190219144523,"1942년부터 형성된 가야시장은 가야면 황산리 279-11번지에 위치한 시장으로 2013년 열린 대장경세계천년문화축전장이 있으며, 합천팔경 중 가야산, 해인사, 홍류동계곡, 남산제일봉, 등에 근접하며 면소재지 생활권 시장으로 정기장은 5일과 10일에 열린다.<br>",21,055-930-3353,,"가야장 (5, 10일)",50201
7,경기도 가평군 가평읍 읍내리 473-15,,31,A04,A0401,A04010200,132785,38,20070508000000,http://tong.visitkorea.or.kr/cms/resource/58/1787158_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/58/1787158_image3_1.jpg,,127.51380353370001,37.8301055617,6.0,20180607155418,"가평 잣고을 전통시장은 1962년부터 개설된 시장으로써 개설 당시만 해도 가평지역의 상권요충지로
 가평군민의 생필품 조달장소 및 만남의 장소로 상당한 인기를 누렸으나, 시대적변화를
 적응치 못하고 시설의 낙후, 편의시설등의 부족과 주고객층의 단편화(30-60대의 노령층)
 로 인해 하루 매출액이 적어 현재 썰렁한 분위기를 연출하고 있는 실정이며 판매 상품
 별로 보면 의류점 10개소를 중심으로 포목점, 음식점, 정육점, 야채, 신발류등으로 구
 성되어 있다.<br><br>최근 건축물이 준공된지 41년이 경과하여 시설이 노후되어 비가리
 개(아케이트) 설치와 전기 시설을 정비하여 지역주민에게 쾌적한 구매환경조성을 제공
 하였다.
<br>",1,가평군청 031-580-2114,가평 잣고을 전통시장,가평 잣고을 전통시장,12419
8,경기도 가평군 조종면 현창로44번길 14,,31,A04,A0401,A04010100,132786,38,20070508000000,http://tong.visitkorea.or.kr/cms/resource/62/1787162_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/62/1787162_image3_1.jpg,"가평군청 문화관광 <a href=""http://www.gptour.go.kr"" target=""_blank"" title=""가평군청 홈페이지로 이동"">http://www.gptour.go.kr</a>",127.34892998,37.819634303200004,6.0,20180605155418,"하면 현리 시가지에 소재한 정기시장은 1966년 개설되어 현재 5일장(매 4, 9일)으로
 개장되고 있으며 타지역 사람들 보다는 현지 주민들이 이용하는 소규모 시장으로서, 
 장터부지가 협소하여 대부분 도로변에서 노점판매와 좌판행위를 하고 있다.",1,031-585-1014,가평 현리시장,"가평 현리5일장 (4, 9일)",12437
9,경기도 가평군 가평읍 장터2길 10,,31,A04,A0401,A04010100,131982,38,20020417000000,http://tong.visitkorea.or.kr/cms/resource/13/2364413_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/13/2364413_image3_1.jpg,,127.51487011280001,37.829775064699994,6.0,20190221154848,"가평은 광주산맥의 산들이 병풍처럼 에워싼 곳으로 전체 군면적 중 84%가 산림으로 
 이루어져 있다.
 가평장은 매5일 기준으로 시장을 운영하고 있으며, 부지면적 850평에 파이프앵글로
 깨끗한 시설을 설치하여 이용객의 편리를 도모하고 있다. 가평지역에서 나오는 각
 종 산채류(더덕, 도라지, 고사리 등), 기타 곡물류, 잡화류, 밤 등 지역특산물이 판매되고 있으며 농촌의 전형적인 시장으로 많은 지역주민이 이용하고 있어 5일장 운영이
 활성화되어 있다.
<br>",1,,,"가평5일장 / 잣고을전통시장 (5, 10일)",12419
